"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/02/2023","AQS","360050110","1","10.2","ug/m3 LC","43","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/05/2023","AQS","360050110","1","9.4","ug/m3 LC","39","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/08/2023","AQS","360050110","1","11.4","ug/m3 LC","48","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/11/2023","AQS","360050110","1","2.7","ug/m3 LC","11","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/14/2023","AQS","360050110","1","5.2","ug/m3 LC","22","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/17/2023","AQS","360050110","1","8.4","ug/m3 LC","35","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/20/2023","AQS","360050110","1","7.5","ug/m3 LC","31","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/23/2023","AQS","360050110","1","4.5","ug/m3 LC","19","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/26/2023","AQS","360050110","1","16.6","ug/m3 LC","60","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"03/01/2023","AQS","360050110","1","6.5","ug/m3 LC","27","IS 52","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
